,title,content
34,배차간격 조정,"안녕하세요,출퇴근시간과 그 외 시간에 배차간격을 조정해서혼잡도가 조금이나마 줄어들었으면 좋겠어요.감사합니다!"
35,역주변에 환경을 깨끗히 해주심 감사하겠습니다,역주변에 환경을 깨끗히 해주심 감사하겠습니다노숙자들이 있어서 지나갈때 많이 불쾌할때가 많습니다
36,항상 노고에 감사드립니다.,추운겨울에도 모니터링 하시고 안전을 위해 애써주시는 교통공사직원 여러분들 감사드립니다!
37,코로나 방역지침을 철저히 준수하여 함께 이겨냅시다,코로나 장기화 및 변형 바이러스 출현으로 일상생활에 많은 지장이 있으나우리 다함게 방역지침 준수 및 마스크 착용 생활화로 타인과 우리의 건강을 함께 지켜 나갑시다지하철 이용중에도 코로나 방역지침을 철저하게 지키는 성숙한 선진시민의 모습으로 함께 이겨 나갑시다
38,앞으로도 응원합니다,매일 3시간 씩 출퇴근 하는 사람으로써 항상 드린다는 말씀 드립니다~지금처럼 항상 안전운행에 힘써 주시면 감사하겠습니다화이팅입니다~
39,항상 응원합니다 감사합니다.,시민들의 발이 되어주시는 철도관계자님들 노고에 항상 감사드립니다.올해 코로나로 인해 더 힘드셨을텐데 정말 수고 많으셨습니다.항상 응원하겠습니다 감사합니다.
40,감사합니다,시민의 발이 되어주시는 서울교통공사앞으로도 응원하겠습니다
41,건의드립니다.,"서울교통공사 관계자 여러분 덕분에 지하철 열차를 편안하고 안전하게잘 이용하고 있습니다. 감사드려요.2022년에도 잘 부탁드리며,열차 배차를 늘려서 출퇴근 시간이 쾌적해졌으면 좋겠습니다."
42,2022년도 서울교통공사와 함께라면 든든합니다.,"2021년 올한해 수없이 도로위를 달리며 편안한 일상생활을 잘 이어 나갈 수 있어서 참 감사한 한해 였습니다. 서울교통공사 모든 직원분들의 노고에 진심으로 감사드리며, 2022년에도 잘 부탁드립니다."
43,운전하기 편하고 안전한 도로 만들기에 앞장서 주세요. 서울교통공사 응원합니다!,"지방에 살다보니 서울에 가면 도로가 잘 정비되어 있어서 운전하기 편합니다.간혹 도로가 패이거나 신호등 체계가 이상한데도 있더라구요.복잡한 서울도로지만 안전하고 운전자들이 운전하기 편한 도로개선에 항상 신경써주셔서 감사드리고,더 나은 도로환경을 위해 애써주시길 바랍니다.서울교통공사 내년에도 시민들에게 사랑받고 함께하길 응원합니다."
44,항상 깨끗한 역,깨끗하게 관리하고 청소하는 분들의 처우를 더 잘 해주셨으면 합니다. 역을 이용하는 고객도 소중하지만 그것을 관리하는 직원들의 처우도 소중합니다. 그래야 더 좋은 서울교통공사가 되지 않을까요?
45,노고에 감사드립니다,늘 따뜻한오작교와같은 역할의 서울교통공사 ! 2022년 도 빠른배처간격과 깨끗한 운송 부탁드립니다.
46,서울교통공사의 2022년 출발을 응원합니다!,3호선 일산 구간을 애용하는 이용자입니다서울매트로 덕분에 출근길이 즐겁습니다♡화이팅입니다!!
47,곧 겨울인데 열차지연이 적어졌으면 합니다,곧 겨울이라 눈이 많이 내리면 폭설 때문에 지연이 되곤 하는데평소에 선로나 열차를 잘 정비해서 열차지연 및안전하게 운행했으면좋겠습니다
48,차 내 cctv,설치 후 설치위치 및 기타 안내 사항들을 적어서 차 내에 비치하면 좋을 것 같아요 범죄예방차원에서!
49,서울교통공사 화이팅,앞으로도 시민들의 교통 안전에힘써주세용
50,아주 좋아요 서울교통공사,"지방에 살다보니 서울에 가면 도로가 잘 정비되어 있어서 운전하기 편합니다.간혹 도로가 패이거나 신호등 체계가 이상한데도 있더라구요.복잡한 서울도로지만 안전하고 운전자들이 운전하기 편한 도로개선에 항상 신경써주셔서 감사드리고,더 나은 도로환경을 위해 애써주시길 바랍니다.서울교통공사 내년에도 시민들에게 사랑받고 함께하길 응원합니다."
51,응원합니다.,서울 교통 공사 22년도 안전한 교통 만들어주세요
52,아주 좋아요 서울교통공사,"지방에 살다보니 서울에 가면 도로가 잘 정비되어 있어서 운전하기 편합니다.간혹 도로가 패이거나 신호등 체계가 이상한데도 있더라구요.복잡한 서울도로지만 안전하고 운전자들이 운전하기 편한 도로개선에 항상 신경써주셔서 감사드리고,더 나은 도로환경을 위해 애써주시길 바랍니다.서울교통공사 내년에도 시민들에게 사랑받고 함께하길 응원합니다."
53,감사합니다,감사합니다
54,역주변 금연,역주변 금연구역에서 흡연하는 사람들 경고 조치 좀 해주세요
55,늘감사드립니다,코로나시대에안전하고편안하게고물가에고생하는국민을위해가성비넘치게이용할수있어서늘감사드립니다건승하세요
56,역소개할때 어떨 때는 너무 크게 들려요,다음 역 소개할때 어떨 때는 소리가 너무 크게 들려요아무리 이어폰 끼고 있는 사람이 많다고는 하지만지하철 내 역 소개 방송이 나올때 볼륨을 적절하게 해주시길 바랍니다!!감사합니다.
57,감사합니다,추운데 많으시죠? 감사합니다 안전운행부탁드려요~
58,이용중 불편사항입니다.,365일 쉬지않고 열심히 시민의 발걸음이 되어주셔서 감사합니다.하지만 이용중에 불편했던 개선했으면하는점에 글남깁니다.바로 해당 열차 하차문입니다.친구나 지인을 지하철타던도중 만나기위해서 역에서만나기도하지만 동선이 겹칠경우 타던 열차에서 만나기도합니다.하지만 내가 어디에서 몇번째에탔는지는 열차에 나오지않아 혼란을 겪기도 하는데요 물론 상하행의 교대로 기차내에 기입하기는 어렵지만 만약 열차내 모니터에서 현시가 되면 어떠할까요?운전기관실방향에따라 몇번째 열차인지 현시되면 편리할것이라 생각됩니다.이러한 불편이 개선되면 좋겠고 앞으로도 발전해나가길 바랍니다.
59,고생하십니다.서울교통공사 직원분들!,서울 지하철 이용하면서 역무원분들의 고생이 많으십니다. 쾌적한 환경 그리고 친절하고 지하철 이용하는 시민들을 위해 노력하시는 모습 칭찬합니다!22년에는 아무탈 없이 좋은 일만 가득하자구요!
60,고속터미널역 너무 복잡해요,3호선과 3번출구 같이 모든 표지판이 아라비아숫자로 되어 있어 초행인 사람은 정말 햇갈려요시각적으로 쉽게 구분되면 좋겠어요
61,CCTV강화 해주세요,승객들의 안전 그리고 범죄예방으로부터CCTV를 강화시켜 예방 효과를 높였으면 좋겠습니다.그리고 워낙 복잡한 출퇴근 시간대에범죄에 노출되기 쉬운데 집중 강화단속 해주시면 안전하게 열차를 탈 것 같아요
62,응원할게요,앞으로도 늘 응원하겠습니다
63,서울교통공사의 더 나은 내일을 응원합니다!!!,2022년에도 서울 지하철을 이용하는 많은 시민들의 힘이 되어주기를 진심으로 바래봅니다!!!
64,올 한해도 감사합니다.,도시철도에서 제일 중요한 건 안전이라고 생각합니다. 안전하게 믿을 수 있는서울교통공사 덕분에 올 한해도 걱정없이 지하철 이용했네요. 지금까지 해주신 서울교통공사의 노력과 헌신 감사합니다. 앞으로도 응원할게요.
65,역시설 내 흡연,역시설에 흡연하는 사람이 가끔 만납니다.냄새가 심하고 근처에 담배꽁초도 보기 안 좋아요ㅠㅠ2022년도 새해 복 많이 받으세요~^^
66,교통수단 지연상황 발생 알람 제안드립니다,"안녕하세요지하철 등 차량고장시 지연상황이 현재 해당노선 인근 역사에는 방송되던데, 그것조차 잘 들리지 않습니다별도 앱을 신설하여 지연상황 발생시 알람을 주시는것은 어떨지요제안드립니다."
67,출퇴근시간 전철을 더 배차해주세요.,출퇴근시간 사람이 너무 많아요. 전철을 좀더 배차해 주시면 감사하겠습니다.
68,항상감사합니다,지하철혼잡도예보 항상챙겨보고있어요앞으로도 시민들의 원활한 이동을위해 애써주시면 감사하겠습니다~
69,시각장애인을 위한 시설 개편,안녕하세요.시각장애인을 위한 시설을 전면적으로 보수하면 좋을 듯 싶습니다.목적지 방향과 반대인 점자가 붙어있는가 하면 시각장애인을 위한 음성 시스템에 대한 시설이 열악한 듯 싶습니다.점자표도 훼손된 곳이 많기도 하고요. 시각장애인 서비스에대한 대대적인 시설 보수를 해주셨으면 좋겠습니다.
70,"고객을 가족처럼,  직원을 가족처럼","고객을 가족처럼,직원을 가족처럼한 마음으로 안전운행을기원합니다."
71,코로나 시대에 고생하십니다.,열차를 이용하다 보면 코로나 시국에 마스크를 착용하지 않거나 턱에만 쓰고 코까지 올리지 않는 이용자들을 자주 볼수가 있습니다. 이럴때 어김없이문자를 통해 민원을 접수하곤 하는데요 이때 조치가 좀 느린 부분이 있습니다. 발견하고 신고 문자를 보내면 보통 처리가 4정거장 정도 지난뒤에 이루어지거나 그 이상이 걸리는 경우가 있는데 바로 역무원이 역에서 투입이 어려울 경우 지하철 안내방송 등으로 즉각 조치부터 하는게 어떤가 싶습니다. 어려운 부분이겠지만 코로나 시국에 변이형도 판을 치는 상황이라 혹여 마스크 안쓴 인물이 감염자인 경우도 완전히 배제할수 없기에 요즘 같은 시국엔 모두가 조금 더 빠른 처리가 필요한것 같습니다. 항상 고생해주시는 덕에 쾌적하게 이용하고 있습니다. 감사합니다.
72,장애인들에게 편의 및 시설개편,일반이용객보다 장애인들의 이용편의를 위해 좀더 시설을 개편해주셨으면 합니다
73,노인무임승차 제한이 필요합니다,노인분들을 위한 교통 지원정책은 꼭 필요하지만하루종일 열차에 앉아 왕복하면서 시간을 보내는 분들 때문에정말 필요한 분들이 열차 이용을 못하거나 불편을 겪어야하는 경우가 많습니다노인분들의 쉼터를 확대하되 열차 이용횟수는제한하거나 열차 안에서 머무르는 시간을 제한하는 등의 조정해주면 좋겠습니다
74,서울교통공사앞으로도 응원하겠습니다,"서울교통공사,앞으로도 많은분들에게 관심과사랑을많이받으시길 응원하겠습니다.역을이용할때마다항상 친절함과 빠른응대로높은만족감을 느끼고있습니다!"
75,이용이 불편해요,"가좌역 경의중앙선은 처음 이용하고나서 두번 다시 이용 안해요지하철 배차 간격이 너무 오래 걸리고정해진 시간에 와서 놓치면 지각할 수 있어서일찍 가서 기다리는 것도 불편하고 지각해서 다음 차례 기다리는 것도 불편하고 너무 안좋더라구요처음 이용할 때 배차 시간표 보고 당황했어요기존의 다른 호선 이용할 땐 빨리 오니까 상관없었는데..수요가 많지 않아서 그런건가요?ITX, SRT 정차역도 아직 이용 안해봤는데아마 복잡해서 당황할 것 같아요처음 이용하는 사람들도 당황하지 않고 잘 이용할 수 있게 도우미나 안내원이 있었으면 좋겠어요"
76,금연구역 강조!!,역 내 금연구역에서도 흡연을 하는 사람들이 종종 있습니다.흡연을 하지 못하도록 금연구역임을 꼭 일깨워줄수있는 홍보물을 배치해주세요
77,불쾌감을 주는 행위 단속해주세요,취객이나 소란피우는 등 불쾌감을 주는사람들 단속 부탁드립니다 요즘 열차내에 이런분들이 부쩍 많아져서 이용하는데 불편함이 있어요
78,줄 좀 제대로 서주세요,먼저 앞에서 줄서있는사람들괜히 줄 슨거 아닙니다꼭 새치기 하는사람들 보이는데줄 좀 제대로 서주세요
79,배차시간 늘려주세요,망포역에서 출발하는 역차의 배차시간이 더 늘어나면 좋겠습니다
80,서울 외곽지역 평면환승을 위한 배차시간 조정 부탁드립니다.,"지금 현재 운영중인 수인선과 경춘선 예를 들어보도록 하겠습니다.경춘선 청량리역 도착이 오전 9시 48분입니다. 거의 49~50분에 도착하고요수인선 청량리역 출발 시간이 오전 9시 47분입니다. 칼같이 출발합니다.청량리역에서 평면환승이 가능하기에 환승시간은 30초도 안걸리지만, 이렇게 배차간격 몇분 차이로~ 이용을 못하고 있습니다.서울시 교통공사에서 교외열차는 평면환승을 원칙으로 하는 것으로 알고 있습니다.그렇다면 시간도 맞춰주셔야죠. 다음열차부터는 시간이 안 맞아 환승 자체를 못합니다."
81,금연구역이 안 지켜져요,정말 제가 알기로는 대중교통 주변이나 정거장 주변은 금연구역이라고 알고 있는데담배피는 사람들이 너무 많아요아무렇지 않게 담배피면서 침도 뱉고 꽁초도 버리고 쓰레기도 버리는 일이 너무 많아서 정말 싫습니다이를 단속하거나 더 강화된 법규가 있었으면 합니다왜 그렇게도 담배를 피면서 쓰레기 마저 버리는지 이해가 안 가요.....
82,불편민원 및 성추행 관련 신고를 할수 있도록 어플이나 열차내부에 신고버튼을 만들었으면 합니다.,안녕하세요열차이용시 성추행같은 신속한 대응이 필요한 사건발생시에 신고할수 있도록 열차관련어플에 신속신고 항목 및 열차내부에 신고가능한 벨을 제작하여 사건발생시에 신속하게 신고하여 출동가능한 시스템을 구축하는건 어떨런지요?
83,더운 여름 추운 겨울 고생이 많으십니다.,주5일 출/퇴근을 위해 이용하게 되는 열차는 늘 많은 사람들로 인해 북적입니다.더운 여름날에는 적절한 온도 유지를 위해 신경써 주셔서 고맙고추운 겨울날에는 따뜻하게 의자의 온도를 맞혀주고 포근하게 실내 온도를 만들어 주셔서 고맙습니다.앞으로도 시민들이 원하는 적절한 온도 유지 를 통해 상쾌하고 쾌적한 열차 실내를 만들어 주세요~~
84,금연구역지정 잘안지켜지내요,출장으로 자주이용하는데 금연구역이 아닌곳에서 담배냄새 너무많이나요..단속강화라든지 해결해주면 좋겠습니다 ~
85,금연구역 홍보및강조,금연구역이라는 것을 사람들에게 확실시 알수있게 하였으면 좋겠습니다
86,출퇴근시간 더 자주 배차해주세요.,출퇴근시간 더 자주 배차 해주세요~~
87,이벤트 참여,"군단위 이하 역을 이용하는 나이드신 분들을위해 수레끌수있는 (나무판, 레일) 계단을 만들어 줬으면무거운 짐을 많이 가지고 다니시는데자전거 도시는 계단양쪽에 자전거를 끌수 있게 되어 있어요"
88,서울교통공사 열차 내 cctv 강화 부탁드려요,열차 내에서 성추행이나 범죄행위들이 많은데 cctv강화로 확실하게 처벌되면 좋겠습니다 2022년 서울교통공사 앞으로도 계속ㅈ좋은 서비스로 더 많은분들에게 사랑받고 대박나시길 바랍니다❤ 항상 응원하겠습니다❗👍🏻
89,장애인용 엘리베이터 모든 역사 확충,충무로 역은 이제서야 엘리베이터 공사가 진행중이더라구요.모든 역사에 필수적으로 설치하여 대한민국 지하철의 위상을 떨쳐주세요
90,금연구역 관리가 미흡한 곳이 있어요.,금연구역에서 여전히 흡연하는 분들이 있다거나 금연구역의 청결상태가 좋지 않아 불편함을 겪은 적이 아직도 있습니다. 이부분 조금만 더 신경써주신다면 쾌적한 역이용을 할 수 있을 것 같습니다. 감사합니다.
91,장애인 엘리베리터 확대 확충,모든 역사에 필수적으로 설치하여 몸이 불편한 분들이 편하게 이용하길 바랍니다.
92,cctv 강화 의견 찬성합니다,"늘 고생해주셔서 감사합니다!!!열차 내에 일부 빌런들로 인해 절도, 폭행, 성추행 등위험한 행동들이 벌어질 때 있는데 cctv강화되어 시민들이 안심할 수 있으면 좋곘습니다!!감사합니다! >< 2022년도 화이팅 하세요"
93,주말에 지하철 시간 배차간격이 짧았으면 좋겠어요,주말에 지하철을 이용하는 사람입니다 집에서 똑같은 시간에 나와도 어떤 날은 지하철이 이미 갔거나 아니면 완전 뒤에 있거나 그래요 사실 교통이 시간을 맞추기는 힘들지만 너무 일관성이 없어서 힘들어요 몇 분 정도는 괜찮지만 적어도 많이 기다리는 일은 없으면 좋겠어요 그리고 급행도 많이 운영해주세요
94,노숙자. 음주자가 많아요,역 주변에는 아직도 노숙자나 음주자가 많아서 불편합니다그분들을 무시하는건 아니지만 낮에도 잠을 자거나 술을 마시며 소리를 지르니 이용하는게 너무 불편합니다때로는 낮에 벤치 자리 하나를 누워 자고 있어서 이용도 못하고 열차를 기다려야 하니 이만저만 불편한게 아닙니다역 주변이나 역내에 단속이 강화돠었으면 합니다
95,휠체어 이용 불편,장애인 시설이 있지만 실사용시 불편함이 적지 않습니다실 사용자들의 의견을 수렴해 실제 사용시 불편함이 없도록 개선하면 좋겠습니다
96,쓰레기통을 더 많이 설치해주세요,역마다 쓰레기통 설치 간격을 자주 있게 해주시고쓰레기통이 없는 역은 쓰레기통을 설치해주세요
97,배리어프리,역이용에 몸이 불편하신분들이 이용하실때 불편이 없도록 개선이 되면 좋겠습니다.
98,서울지역외에서 이용하는 승객을 위해 배차간격을 줄여주시면 좋을거같습니다.,"지하철이 있어서 좋기는 한데, 배차간격이 너무 깁니다.10분에 1대 있으면 그나마 좋은편이고, 20~30분에 한대꼴입니다.배차간격이 기니까 그냥 다른 대중교통을 이용하는게 더 낫다고 생각하고,그러다보니 더욱더 지하철을 이용하려고 하지 않는거같습니다.수익성과 관련이 있겠지만, 서울지역외에 승객을 늘릴려면 배차간격을 줄이는게 좋을거같습니다.열차 객량을 줄이고, 배차간격을 늘려주시면 좋겠습니다."
99,2022년에도 시민들의 안전함을 지켜주세요~!!,"먼저 2021년 한해동안 고생 많으셨습니다~~!! (짝짝짝)코로나 시국으로 더 많은 고생을 하셨으리라 생각이 됩니다.항상 시민들의 편안함을 위해 애써주셔서 감사드리고, 다가오는 2022년에도더욱 안전하고 편안하게 이용할 수 있도록 잘 부탁드리겠습니다 ^^!!"
100,출퇴근 시간 배차간격 조정 문의,안녕하세요!평소 출퇴근에 지하철(전철)을이용하는 사람입니다!저희 지역 지하철은 환승역이라 여러 전철이 지나가 아주아주... 혼잡합니다! 적어도출퇴근시간에는 배차간격을 조정해서 사람이 많을 때 어쩔 수 없이 떠나보낸 다음 열차를 기다리느라 10분을 발을 동동거리며 기다리는 일이 없었으면 좋겠어요고객의 의견을 적극적으로 수용하고자 하는 자세에진심으로 감사드립니다!
101,지하철 잘 이용하고 있어요.,우리나라 지하철 다른 나라들과 비교해도 편리하고 깨끗하고 시각약속 잘지켜진다고생각합니다.앞으로도 많은 사람들이 안전하고 행복하게 이용하도록 잘 관리해주세요.
102,지하철 이용,지하철이 있어 정시에 도착해서 너무 잘 이용하고 있습니다..최~~고~~
103,출퇴근시 지하철 이용을 하는데요.,임산부인지라 뱃지를 달고 좌석에 앉으려해도 이기적인 사람들이 많아서 자리를 비켜주지 않거나 자리에 항상 사람들이 앉아있어요. 빈자석은 기대하지 않으나 뱃지를 달고 앞에서있음 양보를 해주었음 하네요.
104,4호선 열차 좀 늘려주세요^^,코시국 겨울 힘든시기를 보내시고 항상 고생하시는 서울교통공사 관계자 여러분 항상 감사드립니다. 4호선은 열차 배차 간격이 너무 길어 오래 기다리는 시간이 너무 많습니다. 4호선 열차 좀 늘려주신다면 정말 감사하겠습니다.
105,항상 잘 이용하고 있습니다,"안녕하세요?일적인 문제 때문에 서울 가는 일이 잦은 직장인입니다항상 서울에서 이동하려면 힘든 부분이 많은데 그나마 지하철이 잘 되어 있어서 항상 편리하게 이용하고 있습니다앞으로도 고객에게 많은 서비스를 제공해주시기를 바라며, 저도 이용자로서 항상 감사한 마음을 가지도록 하겠습니다"
106,4호선열차늘려주세요,4호선을늘려주세요
